Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 10V X7R","C_0805_2012Metric",131.000000,-142.000000,180.000000,bottom
"C2","100nF 10V X7R","C_0402_1005Metric",131.000000,-139.000000,180.000000,bottom
"C3","10uF 10V X7R","C_0805_2012Metric",141.000000,-139.000000,180.000000,bottom
"C4","100nF 10V X7R","C_0402_1005Metric",144.000000,-139.000000,180.000000,bottom
"F1","PTC 0.5A","Fuse_1206_3216Metric",121.000000,-142.000000,180.000000,bottom
"J1","HRO TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.000000,-140.000000,180.000000,bottom
"J3","LED-Ring-Taster","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",104.000000,-124.000000,180.000000,bottom
"Q1","2N7002","SOT-23",103.000000,-130.000000,180.000000,bottom
"R1","5.1k 1%","R_0402_1005Metric",103.500000,-136.000000,180.000000,bottom
"R2","5.1k 1%","R_0402_1005Metric",103.500000,-138.000000,180.000000,bottom
"R3","22R","R_0402_1005Metric",124.000000,-133.000000,180.000000,bottom
"R4","22R","R_0402_1005Metric",124.000000,-135.000000,180.000000,bottom
"R7","10k","R_0402_1005Metric",109.000000,-124.000000,180.000000,bottom
"R8","100R","R_0402_1005Metric",107.000000,-129.000000,180.000000,bottom
"R9","100k","R_0402_1005Metric",110.000000,-129.000000,180.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",119.000000,-133.000000,180.000000,bottom
"U3","TLV75733PDBVR 1A","SOT-23-5",136.000000,-139.000000,180.000000,bottom
"C5","22uF 10V X7R","C_0805_2012Metric",133.500000,-129.000000,0.000000,top
"C6","100nF 10V X7R","C_0402_1005Metric",136.500000,-129.000000,0.000000,top
"C7","1uF 10V X7R","C_0603_1608Metric",139.500000,-131.000000,0.000000,top
"C8","4.7uF 25V X7R","C_0805_2012Metric",102.500000,-133.000000,0.000000,top
"C9","4.7uF 25V X7R","C_0805_2012Metric",106.000000,-133.000000,0.000000,top
"C10","1uF 25V X7R","C_0603_1608Metric",111.000000,-135.000000,0.000000,top
"C11","1uF 25V X7R","C_0603_1608Metric",134.000000,-133.500000,0.000000,top
"C12","1uF 25V X7R","C_0603_1608Metric",137.200000,-133.500000,0.000000,top
"C13","1uF 25V X7R","C_0603_1608Metric",140.400000,-133.500000,0.000000,top
"C14","1uF 25V X7R","C_0603_1608Metric",143.800000,-133.500000,0.000000,top
"C15","1uF 25V X7R","C_0603_1608Metric",134.000000,-135.500000,0.000000,top
"C16","1uF 25V X7R","C_0603_1608Metric",137.200000,-135.500000,0.000000,top
"C17","1uF 25V X7R","C_0603_1608Metric",140.400000,-135.500000,0.000000,top
"D1","MBR0530","D_SOD-123",111.000000,-124.000000,0.000000,top
"D2","MBR0530","D_SOD-123",111.000000,-128.000000,0.000000,top
"D3","MBR0530","D_SOD-123",111.000000,-132.000000,0.000000,top
"J2","GDEM0154F61H FPC 24P 0.5mm","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",126.000000,-140.000000,0.000000,top
"L1","47uH 500mA NR3015","L_Taiyo-Yuden_NR-30xx",102.500000,-125.000000,0.000000,top
"Q2","Si1308EDL","SOT-323_SC-70",106.000000,-125.000000,0.000000,top
"R5","10k","R_0402_1005Metric",136.000000,-127.000000,0.000000,top
"R6","10k","R_0402_1005Metric",136.000000,-123.500000,0.000000,top
"R10","1M 1%","R_0402_1005Metric",102.500000,-129.000000,0.000000,top
"R11","2.2R 1%","R_0603_1608Metric",106.000000,-129.000000,0.000000,top
"SW1","RESET","SW_Push_1P1T_NO_CK_KMR2",142.500000,-128.000000,0.000000,top
"SW2","BOOT","SW_Push_1P1T_NO_CK_KMR2",142.500000,-123.000000,0.000000,top
"U1","ESP32-S2-MINI-2-N4R2","ESP32-S2-MINI-1",123.000000,-124.750000,0.000000,top
